,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
0,Flo Rida ,Low,231400,2005,0.918,0.609,10,-5.64,0.0791,0.0928,0,0.139,0.304,128.008,spotify:track:0CAfXk7DXMnon4gLudAp7J
1,Jesse McCartney,Leavin,216880,2005,0.687,0.71,9,-5.84,0.0522,0.0283,3.71e-06,0.0689,0.886,79.235,spotify:track:20ORwCJusz4KS2PbTPVNKo
2,Leona Lewis,Bleeding Love,262467,2005,0.638,0.656,5,-5.886,0.0357,0.188,0,0.146,0.225,104.036,spotify:track:7wZUrN8oemZfsEd1CGkbXE
3,Timbaland ,Apologize,184400,2005,0.653,0.604,8,-6.017,0.0278,0.0292,0,0.097,0.101,118.016,spotify:track:6ucR4KfvsBFWCMVFDvyKKl
4,Chris Brown,Forever,278573,2005,0.672,0.82,11,-4.456,0.0459,0.0368,0.000188,0.184,0.438,120.005,spotify:track:3NZJlJemX3mzjf56MqC5ML
5,Rihanna,Take A Bow,229413,2005,0.697,0.467,9,-7.536,0.0715,0.248,0,0.0941,0.572,82.081,spotify:track:3goSVuTt3fDYDP6kRnFwuL
6,Jordin Sparks Duet With Chris Brown,No Air,264547,2005,0.461,0.757,11,-5.01,0.212,0.0494,0,0.0603,0.333,159.997,spotify:track:3EXoXwJg7YCKBG0GZbJFqB
7,Alicia Keys,No One,253813,2005,0.644,0.548,1,-5.416,0.0286,0.0209,8.68e-06,0.134,0.166,90.042,spotify:track:6IwKcFdiRQZOWeYNhUiWIv
8,Sara Bareilles,Love Song,258827,2005,0.583,0.786,2,-3.142,0.0301,0.0208,0,0.188,0.573,123.052,spotify:track:4E6cwWJWZw2zWf7VFbH7wf
9,Chris Brown,With You,252120,2005,0.662,0.693,3,-4.298,0.0698,0.134,0,0.145,0.655,86.009,spotify:track:5Lgcn7u07bHuqbOtXkN62u
10,Rihanna,Disturbia,238627,2005,0.707,0.813,11,-4.515,0.0571,0.0863,0,0.168,0.722,124.921,spotify:track:2VOomzT6VavJOGBeySqaMc
11,Fergie,Clumsy,240427,2005,0.731,0.563,2,-4.046,0.131,0.191,0.00042,0.296,0.452,184.009,spotify:track:50xeLNGKmskmYUSINhqvfa
12,Usher ,Love In This Club,259720,2005,0.573,0.712,0,-5.976,0.0732,0.0572,0,0.167,0.346,140.012,spotify:track:5j0McHPthKpOXRr3fBq8M0
