,Rank,Song,Artist,Year
0,1,Bad Day,Daniel Powter,2005
1,2,Temperature,Sean Paul,2005
2,3,Promiscuous,Nelly Furtado Featuring Timbaland,2005
3,4,You're Beautiful,James Blunt,2005
4,5,Hips Don't Lie,Shakira Featuring Wyclef Jean,2005
5,6,Unwritten,Natasha Bedingfield,2005
6,7,Crazy,Gnarls Barkley,2005
7,8,Ridin',Chamillionaire Featuring Krayzie Bone,2005
8,9,SexyBack,Justin Timberlake,2005
9,10,Check On It,Beyonce Featuring Slim Thug,2005
10,11,Be Without You,Mary J. Blige,2005
11,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2005
12,13,Over My Head (Cable Car),The Fray,2005
13,14,Me & U,Cassie,2005
14,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg,2005
15,16,Run It!,Chris Brown,2005
16,17,So Sick,Ne-Yo,2005
17,18,It's Goin' Down,Yung Joc,2005
18,19,SOS,Rihanna,2005
19,20,I Write Sins Not Tragedies,Panic! At The Disco,2005
20,21,Move Along,The All-American Rejects,2005
21,22,London Bridge,Fergie,2005
22,23,Dani California,Red Hot Chili Peppers,2005
23,24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2005
24,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2005
25,26,What Hurts The Most,Rascal Flatts,2005
26,27,How To Save A Life,The Fray,2005
27,28,Unfaithful,Rihanna,2005
28,29,Chasing Cars,Snow Patrol,2005
29,30,Lips Of An Angel,Hinder,2005
30,31,Everytime We Touch,Cascada,2005
31,32,Ain't No Other Man,Christina Aguilera,2005
32,33,"Dance, Dance",Fall Out Boy,2005
33,34,Gold Digger,Kanye West Featuring Jamie Foxx,2005
34,35,Money Maker,Ludacris Featuring Pharrell,2005
35,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,2005
36,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2005
37,38,Photograph,Nickelback,2005
38,39,Because Of You,Kelly Clarkson,2005
39,40,Stickwitu,The Pussycat Dolls,2005
40,41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2005
41,42,My Humps,The Black Eyed Peas,2005
42,43,Where'd You Go,Fort Minor Featuring Holly Brook,2005
43,44,Yo (Excuse Me Miss),Chris Brown,2005
44,45,Walk Away,Kelly Clarkson,2005
45,46,Laffy Taffy,D4L,2005
46,47,What You Know,T.I.,2005
47,48,Dirty Little Secret,The All-American Rejects,2005
48,49,Savin' Me,Nickelback,2005
49,50,Don't Forget About Us,Mariah Carey,2005
50,51,Sexy Love,Ne-Yo,2005
51,52,U And Dat,E-40 Featuring T-Pain & Kandi Girl,2005
52,53,Far Away,Nickelback,2005
53,54,What's Left Of Me,Nick Lachey,2005
54,55,So What,Field Mob Featuring Ciara,2005
55,56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,2005
56,57,Black Horse & The Cherry Tree,KT Tunstall,2005
57,58,There It Go! (The Whistle Song),Juelz Santana,2005
58,59,Shoulder Lean,Young Dro Featuring T.I.,2005
59,60,Unpredictable,Jamie Foxx Featuring Ludacris,2005
60,61,My Love,Justin Timberlake Featuring T.I.,2005
61,62,Shake That,Eminem Featuring Nate Dogg,2005
62,63,Pullin' Me Back,Chingy Featuring Tyrese,2005
63,64,Bossy,Kelis Featuring Too $hort,2005
64,65,Chain Hang Low,Jibbs,2005
65,66,Smack That,Akon Featuring Eminem,2005
66,67,One Wish,Ray J,2005
67,68,"Sugar, We're Goin' Down",Fall Out Boy,2005
68,69,Gimme That,Chris Brown Featuring Lil Wayne,2005
69,70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2005
70,71,Who Says You Can't Go Home,Bon Jovi,2005
71,72,Too Little Too Late,JoJo,2005
72,73,Touch It,Busta Rhymes,2005
73,74,Rompe,Daddy Yankee,2005
74,75,Deja Vu,Beyonce Featuring Jay Z,2005
75,76,Life Is A Highway,Rascal Flatts,2005
76,77,Call Me When You're Sober,Evanescence,2005
77,78,"Jesus, Take The Wheel",Carrie Underwood,2005
78,79,Show Stopper,Danity Kane,2005
79,80,Get Up,Ciara Featuring Chamillionaire,2005
80,81,We Be Burnin',Sean Paul,2005
81,82,Hate Me,Blue October,2005
82,83,You And Me,Lifehouse,2005
83,84,Beep,The Pussycat Dolls Featuring will.i.am,2005
84,85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2005
85,86,Say Goodbye,Chris Brown,2005
86,87,Waiting On The World To Change,John Mayer,2005
