,Rank,Song,Artist,Year,Genre
0,1,Low,Flo Rida Featuring T-Pain,2005,pop
1,2,Leavin',Jesse McCartney,2005,pop
2,3,Bleeding Love,Leona Lewis,2005,pop
3,4,Apologize,Timbaland Featuring OneRepublic,2005,pop
4,5,Forever,Chris Brown,2005,pop
5,6,Take A Bow,Rihanna,2005,pop
6,7,No Air,Jordin Sparks Duet With Chris Brown,2005,pop
7,8,No One,Alicia Keys,2005,pop
8,9,Love Song,Sara Bareilles,2005,pop
9,10,With You,Chris Brown,2005,pop
10,11,Disturbia,Rihanna,2005,pop
11,12,Clumsy,Fergie,2005,pop
12,13,Love In This Club,Usher Featuring Young Jeezy,2005,pop
13,14,Closer,Ne-Yo,2005,pop
14,15,See You Again,Miley Cyrus,2005,pop
15,16,I Kissed A Girl,Katy Perry,2005,pop
16,17,Pocketful Of Sunshine,Natasha Bedingfield,2005,pop
17,18,Shake It,Metro Station,2005,pop
18,19,Stop And Stare,OneRepublic,2005,pop
19,20,Sorry,Buckcherry,2005,pop
20,21,Don't Stop The Music,Rihanna,2005,pop
21,22,Tattoo,Jordin Sparks,2005,pop
22,23,Sexy Can I,Ray J & Yung Berg,2005,pop
23,24,Dangerous,Kardinal Offishall Featuring Akon,2005,pop
24,25,Better In Time,Leona Lewis,2005,pop
25,26,Fall For You,Secondhand Serenade,2005,pop
26,27,One Step At A Time,Jordin Sparks,2005,pop
27,28,So What,P!nk,2005,pop
28,29,Paralyzer,Finger Eleven,2005,pop
29,30,Kiss Kiss,Chris Brown Featuring T-Pain,2005,pop
30,31,Take You There,Sean Kingston,2005,pop
31,32,Damaged,Danity Kane,2005,pop
32,33,Lollipop,Lil Wayne Featuring Static Major,2005,pop
33,34,Hate That I Love You,Rihanna Featuring Ne-Yo,2005,pop
34,35,Teardrops On My Guitar,Taylor Swift,2005,pop
35,36,All Summer Long,Kid Rock,2005,pop
36,37,Bubbly,Colbie Caillat,2005,pop
37,38,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2005,pop
38,39,Hot N Cold,Katy Perry,2005,pop
39,40,Realize,Colbie Caillat,2005,pop
40,1,Low,Flo Rida Featuring T-Pain,2006,pop
41,2,Leavin',Jesse McCartney,2006,pop
42,3,Bleeding Love,Leona Lewis,2006,pop
43,4,Apologize,Timbaland Featuring OneRepublic,2006,pop
44,5,Forever,Chris Brown,2006,pop
45,6,Take A Bow,Rihanna,2006,pop
46,7,No Air,Jordin Sparks Duet With Chris Brown,2006,pop
47,8,No One,Alicia Keys,2006,pop
48,9,Love Song,Sara Bareilles,2006,pop
49,10,With You,Chris Brown,2006,pop
50,11,Disturbia,Rihanna,2006,pop
51,12,Clumsy,Fergie,2006,pop
52,13,Love In This Club,Usher Featuring Young Jeezy,2006,pop
53,14,Closer,Ne-Yo,2006,pop
54,15,See You Again,Miley Cyrus,2006,pop
55,16,I Kissed A Girl,Katy Perry,2006,pop
56,17,Pocketful Of Sunshine,Natasha Bedingfield,2006,pop
57,18,Shake It,Metro Station,2006,pop
58,19,Stop And Stare,OneRepublic,2006,pop
59,20,Sorry,Buckcherry,2006,pop
60,21,Don't Stop The Music,Rihanna,2006,pop
61,22,Tattoo,Jordin Sparks,2006,pop
62,23,Sexy Can I,Ray J & Yung Berg,2006,pop
63,24,Dangerous,Kardinal Offishall Featuring Akon,2006,pop
64,25,Better In Time,Leona Lewis,2006,pop
65,26,Fall For You,Secondhand Serenade,2006,pop
66,27,One Step At A Time,Jordin Sparks,2006,pop
67,28,So What,P!nk,2006,pop
68,29,Paralyzer,Finger Eleven,2006,pop
69,30,Kiss Kiss,Chris Brown Featuring T-Pain,2006,pop
70,31,Take You There,Sean Kingston,2006,pop
71,32,Damaged,Danity Kane,2006,pop
72,33,Lollipop,Lil Wayne Featuring Static Major,2006,pop
73,34,Hate That I Love You,Rihanna Featuring Ne-Yo,2006,pop
74,35,Teardrops On My Guitar,Taylor Swift,2006,pop
75,36,All Summer Long,Kid Rock,2006,pop
76,37,Bubbly,Colbie Caillat,2006,pop
77,38,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2006,pop
78,39,Hot N Cold,Katy Perry,2006,pop
79,40,Realize,Colbie Caillat,2006,pop
80,1,Low,Flo Rida Featuring T-Pain,2007,pop
81,2,Leavin',Jesse McCartney,2007,pop
82,3,Bleeding Love,Leona Lewis,2007,pop
83,4,Apologize,Timbaland Featuring OneRepublic,2007,pop
84,5,Forever,Chris Brown,2007,pop
85,6,Take A Bow,Rihanna,2007,pop
86,7,No Air,Jordin Sparks Duet With Chris Brown,2007,pop
87,8,No One,Alicia Keys,2007,pop
88,9,Love Song,Sara Bareilles,2007,pop
89,10,With You,Chris Brown,2007,pop
90,11,Disturbia,Rihanna,2007,pop
91,12,Clumsy,Fergie,2007,pop
92,13,Love In This Club,Usher Featuring Young Jeezy,2007,pop
93,14,Closer,Ne-Yo,2007,pop
94,15,See You Again,Miley Cyrus,2007,pop
95,16,I Kissed A Girl,Katy Perry,2007,pop
96,17,Pocketful Of Sunshine,Natasha Bedingfield,2007,pop
97,18,Shake It,Metro Station,2007,pop
98,19,Stop And Stare,OneRepublic,2007,pop
99,20,Sorry,Buckcherry,2007,pop
100,21,Don't Stop The Music,Rihanna,2007,pop
101,22,Tattoo,Jordin Sparks,2007,pop
102,23,Sexy Can I,Ray J & Yung Berg,2007,pop
103,24,Dangerous,Kardinal Offishall Featuring Akon,2007,pop
104,25,Better In Time,Leona Lewis,2007,pop
105,26,Fall For You,Secondhand Serenade,2007,pop
106,27,One Step At A Time,Jordin Sparks,2007,pop
107,28,So What,P!nk,2007,pop
108,29,Paralyzer,Finger Eleven,2007,pop
109,30,Kiss Kiss,Chris Brown Featuring T-Pain,2007,pop
110,31,Take You There,Sean Kingston,2007,pop
111,32,Damaged,Danity Kane,2007,pop
112,33,Lollipop,Lil Wayne Featuring Static Major,2007,pop
113,34,Hate That I Love You,Rihanna Featuring Ne-Yo,2007,pop
114,35,Teardrops On My Guitar,Taylor Swift,2007,pop
115,36,All Summer Long,Kid Rock,2007,pop
116,37,Bubbly,Colbie Caillat,2007,pop
117,38,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2007,pop
118,39,Hot N Cold,Katy Perry,2007,pop
119,40,Realize,Colbie Caillat,2007,pop
120,1,Low,Flo Rida Featuring T-Pain,2008,pop
121,2,Leavin',Jesse McCartney,2008,pop
122,3,Bleeding Love,Leona Lewis,2008,pop
123,4,Apologize,Timbaland Featuring OneRepublic,2008,pop
124,5,Forever,Chris Brown,2008,pop
125,6,Take A Bow,Rihanna,2008,pop
126,7,No Air,Jordin Sparks Duet With Chris Brown,2008,pop
127,8,No One,Alicia Keys,2008,pop
128,9,Love Song,Sara Bareilles,2008,pop
129,10,With You,Chris Brown,2008,pop
130,11,Disturbia,Rihanna,2008,pop
131,12,Clumsy,Fergie,2008,pop
132,13,Love In This Club,Usher Featuring Young Jeezy,2008,pop
133,14,Closer,Ne-Yo,2008,pop
134,15,See You Again,Miley Cyrus,2008,pop
135,16,I Kissed A Girl,Katy Perry,2008,pop
136,17,Pocketful Of Sunshine,Natasha Bedingfield,2008,pop
137,18,Shake It,Metro Station,2008,pop
138,19,Stop And Stare,OneRepublic,2008,pop
139,20,Sorry,Buckcherry,2008,pop
140,21,Don't Stop The Music,Rihanna,2008,pop
141,22,Tattoo,Jordin Sparks,2008,pop
142,23,Sexy Can I,Ray J & Yung Berg,2008,pop
143,24,Dangerous,Kardinal Offishall Featuring Akon,2008,pop
144,25,Better In Time,Leona Lewis,2008,pop
145,26,Fall For You,Secondhand Serenade,2008,pop
146,27,One Step At A Time,Jordin Sparks,2008,pop
147,28,So What,P!nk,2008,pop
148,29,Paralyzer,Finger Eleven,2008,pop
149,30,Kiss Kiss,Chris Brown Featuring T-Pain,2008,pop
150,31,Take You There,Sean Kingston,2008,pop
151,32,Damaged,Danity Kane,2008,pop
152,33,Lollipop,Lil Wayne Featuring Static Major,2008,pop
153,34,Hate That I Love You,Rihanna Featuring Ne-Yo,2008,pop
154,35,Teardrops On My Guitar,Taylor Swift,2008,pop
155,36,All Summer Long,Kid Rock,2008,pop
156,37,Bubbly,Colbie Caillat,2008,pop
157,38,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,pop
158,39,Hot N Cold,Katy Perry,2008,pop
159,40,Realize,Colbie Caillat,2008,pop
160,1,Gives You Hell,The All-American Rejects,2009,pop
161,2,Just Dance,Lady Gaga Featuring Colby O'Donis,2009,pop
162,3,I Gotta Feeling,The Black Eyed Peas,2009,pop
163,4,Poker Face,Lady Gaga,2009,pop
164,5,You Belong With Me,Taylor Swift,2009,pop
165,6,Boom Boom Pow,The Black Eyed Peas,2009,pop
166,7,Right Round,Flo Rida,2009,pop
167,8,Love Story,Taylor Swift,2009,pop
