Rank,Song,Artist,Year
1,Bad Day,Daniel Powter,2005
2,Temperature,Sean Paul,2005
3,Promiscuous,Nelly Furtado Featuring Timbaland,2005
4,You're Beautiful,James Blunt,2005
5,Hips Don't Lie,Shakira Featuring Wyclef Jean,2005
6,Unwritten,Natasha Bedingfield,2005
7,Crazy,Gnarls Barkley,2005
8,Ridin',Chamillionaire Featuring Krayzie Bone,2005
9,SexyBack,Justin Timberlake,2005
10,Check On It,Beyonce Featuring Slim Thug,2005
11,Be Without You,Mary J. Blige,2005
12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2005
13,Over My Head (Cable Car),The Fray,2005
14,Me & U,Cassie,2005
15,Buttons,The Pussycat Dolls Featuring Snoop Dogg,2005
16,Run It!,Chris Brown,2005
17,So Sick,Ne-Yo,2005
18,It's Goin' Down,Yung Joc,2005
19,SOS,Rihanna,2005
20,I Write Sins Not Tragedies,Panic! At The Disco,2005
21,Move Along,The All-American Rejects,2005
22,London Bridge,Fergie,2005
23,Dani California,Red Hot Chili Peppers,2005
24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2005
25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2005
