,Unnamed: 0,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
9050,9050,Byron Cage,I Will Bless The Lord,317933,2005,0.626,0.9390000000000001,1,-2.7689999999999997,0.20600000000000002,0.127,0.0,0.975,0.7390000000000001,99.99799999999999,spotify:track:5Kt3OBConX9X0FSHZt39tI
9051,9051,Kirk Franklin,Looking For You,246560,2005,0.81,0.72,1,-4.793,0.0503,0.0138,0.0,0.221,0.805,121.984,spotify:track:7lXbmBVZsyhxsxBzodG1w3
9052,9052,Mary Mary,Yesterday,320040,2005,0.46,0.5379999999999999,1,-7.1,0.0318,0.198,2.28e-06,0.087,0.10400000000000001,139.063,spotify:track:58TvareCLSfzfN8WFWbaWK
9053,9053,Hezekiah Walker,Lift Him Up,381080,2005,0.467,0.904,1,-4.354,0.24100000000000002,0.162,4.06e-06,0.65,0.364,172.024,spotify:track:1GIyFRPYPfkXHp7ALQA1dB
9054,9054,Myron Butler ,Set Me Free,292040,2005,0.586,0.907,0,-3.8930000000000002,0.21,0.0674,0.0,0.217,0.825,167.615,spotify:track:4LKw2OX8XRsYSj9Tig9WHy
9055,9055,Jimmy Hicks ,Born Blessed,321480,2005,0.491,0.8270000000000001,1,-4.796,0.316,0.564,0.0,0.807,0.7929999999999999,191.763,spotify:track:1cw1l5DsN3KE4gsB6qoxDv
9056,9056,Vickie Winans,Its Alright,230907,2005,0.6970000000000001,0.898,5,-4.824,0.0761,0.152,0.0,0.23800000000000002,0.835,111.977,spotify:track:5LQP65nrPNCoUf6v0HroNB
9057,9057,Tye Tribbett ,Victory,249880,2005,0.473,0.937,11,-3.6,0.39799999999999996,0.0578,0.0,0.325,0.496,186.308,spotify:track:7olcSsRz6L8Tl4TmjOwxTu
9058,9058,Yolanda Adams,Victory,280544,2005,0.6829999999999999,0.9540000000000001,10,-2.5,0.12,0.0455,0.0,0.0508,0.9640000000000001,76.495,spotify:track:4SlBvsyOCwNdEfjGpP0d9f
9059,9059,Donnie McClurkin,Church Medley,275187,2005,0.547,0.9279999999999999,5,-3.89,0.0301,0.0217,0.0,0.633,0.599,104.84,spotify:track:0HYpgoMAXWZD6IS6sN9T1F
9060,9060,Vicki Yohe,Deliverance Is Available,301307,2005,0.578,0.546,5,-5.481,0.0296,0.374,0.0,0.284,0.263,104.898,spotify:track:67sUXetpVXsCBXSuxdx0Jq
9061,9061,Youth For Christ,The Struggle Is Over,294720,2005,0.345,0.313,0,-13.869000000000002,0.0327,0.365,0.0,0.604,0.294,93.462,spotify:track:2vFP5JKi5hUuHtynRITP8X
9062,9062,CeCe Winans,Pray,211893,2005,0.809,0.629,1,-8.017000000000001,0.035,0.16399999999999998,0.0,0.0702,0.374,101.199,spotify:track:0Q04tlIgmRYHgvKNceIsAn
9063,9063,Dottie Peoples,He Said It ,394707,2005,0.6709999999999999,0.6809999999999999,10,-9.316,0.134,0.0246,0.0,0.17600000000000002,0.353,106.54899999999999,spotify:track:5x34PXdfqyqPPy7mK6aCKG
9064,9064,Kirk Franklin,Imagine Me,318840,2005,0.632,0.7170000000000001,0,-8.307,0.039,0.138,0.00149,0.0685,0.77,153.942,spotify:track:7kN3bGZtBKwWwYKSkE3RER
9065,9065,Darrel Petties ,Thank Ya Jesus,236333,2005,0.368,0.6859999999999999,10,-6.527,0.136,0.0241,5.71e-06,0.122,0.34700000000000003,67.878,spotify:track:6lvsbAxz6CRXhS5JiiNQZb
9066,9066,CeCe Winans,Hes Concerned,206213,2005,0.257,0.177,4,-11.798,0.0304,0.9079999999999999,0.0,0.106,0.35100000000000003,81.086,spotify:track:6bpRaJSFcjdv5aRtyUYwgc
9067,9067,"Keith ""Wonderboy"" Johnson ",I Made It,327747,2005,0.672,0.92,7,-0.998,0.0786,0.11900000000000001,0.0,0.614,0.8,114.031,spotify:track:3JsJnYzHtsEhtoFNI6sCcP
9068,9068,Tamela Mann,Speak Lord,292048,2005,0.285,0.591,5,-5.781000000000001,0.0484,0.654,0.0,0.524,0.39799999999999996,81.805,spotify:track:6iqbk9XjZ994WY5cgSj0Fk
9069,9069,Virtue,Follow Me,219293,2005,0.8029999999999999,0.726,6,-6.3,0.0486,0.0138,0.000149,0.0689,0.524,113.99799999999999,spotify:track:44YZAqgqANvA7JgIjByqOo
9070,9070,Kelly Price,Healing,252160,2005,0.52,0.74,7,-6.018,0.0791,0.217,0.0,0.163,0.247,120.471,spotify:track:3HGbvhA2pzYsShwFzFvtLb
9071,9071,Marvin Sapp,Do You Know Him?,318147,2005,0.736,0.872,1,-6.098,0.0544,0.045,3.07e-06,0.0813,0.816,109.993,spotify:track:1xH34c55adPJWAfUBnHDZV
9072,9072,Darwin Hobbs,Glorify Him,330827,2005,0.618,0.9359999999999999,8,-3.81,0.153,0.156,0.0,0.32299999999999995,0.655,111.98299999999999,spotify:track:1OdRpL6equkp7B1DeIBKm9
9073,9073,Byron Cage,I Will Bless The Lord,317933,2006,0.626,0.9390000000000001,1,-2.7689999999999997,0.20600000000000002,0.127,0.0,0.975,0.7390000000000001,99.99799999999999,spotify:track:5Kt3OBConX9X0FSHZt39tI
9074,9074,Kirk Franklin,Looking For You,246560,2006,0.81,0.72,1,-4.793,0.0503,0.0138,0.0,0.221,0.805,121.984,spotify:track:7lXbmBVZsyhxsxBzodG1w3
9075,9075,Mary Mary,Yesterday,320040,2006,0.46,0.5379999999999999,1,-7.1,0.0318,0.198,2.28e-06,0.087,0.10400000000000001,139.063,spotify:track:58TvareCLSfzfN8WFWbaWK
9076,9076,Hezekiah Walker,Lift Him Up,381080,2006,0.467,0.904,1,-4.354,0.24100000000000002,0.162,4.06e-06,0.65,0.364,172.024,spotify:track:1GIyFRPYPfkXHp7ALQA1dB
9077,9077,Myron Butler ,Set Me Free,292040,2006,0.586,0.907,0,-3.8930000000000002,0.21,0.0674,0.0,0.217,0.825,167.615,spotify:track:4LKw2OX8XRsYSj9Tig9WHy
9078,9078,Jimmy Hicks ,Born Blessed,321480,2006,0.491,0.8270000000000001,1,-4.796,0.316,0.564,0.0,0.807,0.7929999999999999,191.763,spotify:track:1cw1l5DsN3KE4gsB6qoxDv
9079,9079,Vickie Winans,Its Alright,230907,2006,0.6970000000000001,0.898,5,-4.824,0.0761,0.152,0.0,0.23800000000000002,0.835,111.977,spotify:track:5LQP65nrPNCoUf6v0HroNB
9080,9080,Tye Tribbett ,Victory,249880,2006,0.473,0.937,11,-3.6,0.39799999999999996,0.0578,0.0,0.325,0.496,186.308,spotify:track:7olcSsRz6L8Tl4TmjOwxTu
9081,9081,Yolanda Adams,Victory,280544,2006,0.6829999999999999,0.9540000000000001,10,-2.5,0.12,0.0455,0.0,0.0508,0.9640000000000001,76.495,spotify:track:4SlBvsyOCwNdEfjGpP0d9f
9082,9082,Donnie McClurkin,Church Medley,275187,2006,0.547,0.9279999999999999,5,-3.89,0.0301,0.0217,0.0,0.633,0.599,104.84,spotify:track:0HYpgoMAXWZD6IS6sN9T1F
9083,9083,Vicki Yohe,Deliverance Is Available,301307,2006,0.578,0.546,5,-5.481,0.0296,0.374,0.0,0.284,0.263,104.898,spotify:track:67sUXetpVXsCBXSuxdx0Jq
9084,9084,Youth For Christ,The Struggle Is Over,294720,2006,0.345,0.313,0,-13.869000000000002,0.0327,0.365,0.0,0.604,0.294,93.462,spotify:track:2vFP5JKi5hUuHtynRITP8X
9085,9085,CeCe Winans,Pray,211893,2006,0.809,0.629,1,-8.017000000000001,0.035,0.16399999999999998,0.0,0.0702,0.374,101.199,spotify:track:0Q04tlIgmRYHgvKNceIsAn
9086,9086,Dottie Peoples,He Said It ,394707,2006,0.6709999999999999,0.6809999999999999,10,-9.316,0.134,0.0246,0.0,0.17600000000000002,0.353,106.54899999999999,spotify:track:5x34PXdfqyqPPy7mK6aCKG
9087,9087,Kirk Franklin,Imagine Me,318840,2006,0.632,0.7170000000000001,0,-8.307,0.039,0.138,0.00149,0.0685,0.77,153.942,spotify:track:7kN3bGZtBKwWwYKSkE3RER
9088,9088,Darrel Petties ,Thank Ya Jesus,236333,2006,0.368,0.6859999999999999,10,-6.527,0.136,0.0241,5.71e-06,0.122,0.34700000000000003,67.878,spotify:track:6lvsbAxz6CRXhS5JiiNQZb
9089,9089,CeCe Winans,Hes Concerned,206213,2006,0.257,0.177,4,-11.798,0.0304,0.9079999999999999,0.0,0.106,0.35100000000000003,81.086,spotify:track:6bpRaJSFcjdv5aRtyUYwgc
9090,9090,"Keith ""Wonderboy"" Johnson ",I Made It,327747,2006,0.672,0.92,7,-0.998,0.0786,0.11900000000000001,0.0,0.614,0.8,114.031,spotify:track:3JsJnYzHtsEhtoFNI6sCcP
