,Unnamed: 0,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
3340,3340,HAIM,Want You Back,232120,2017,0.635,0.853,0,-3.926,0.048,0.121,0.0,0.371,0.37200000000000005,112.964,spotify:track:2wXhdaTnmkkFSOidKfnOxA
3341,3341,LANY,Super Far,203650,2017,0.575,0.46,1,-6.8389999999999995,0.182,0.0988,0.0,0.22699999999999998,0.462,95.95200000000001,spotify:track:15ahYSiHAIMxAnujlXVtta
3342,3342,Tom Petty And The Heartbreakers,Mary Janes Last Dance,273600,2017,0.46399999999999997,0.655,7,-9.058,0.0608,0.0272,1.34e-06,0.32799999999999996,0.531,169.515,spotify:track:3dmqIB2Qxe2XZobw9gXxJ6
3343,3343,Fleetwood Mac,The Chain,270213,2017,0.545,0.67,9,-8.81,0.0496,0.009000000000000001,0.000822,0.0451,0.48100000000000004,151.553,spotify:track:5e9TFTbltYBg2xThimr0rU
3344,3344,Gorillaz ,Andromeda,197547,2017,0.7879999999999999,0.47200000000000003,0,-9.021,0.0475,0.003,0.0322,0.59,0.257,130.084,spotify:track:2C0KFbb4v9CNWR5c9jWcKC
3345,3345,The Dirty Heads,Vacation,220800,2017,0.8140000000000001,0.607,1,-7.619,0.0641,0.17,0.1,0.0317,0.495,150.06799999999998,spotify:track:6fSwoEH7Rnk55ICNcFE09R
3346,3346,X Ambassadors,Ahead Of Myself,223147,2017,0.5870000000000001,0.542,5,-7.876,0.034,0.0014,0.0,0.0906,0.371,89.991,spotify:track:5KrEN8aGZnvS2UU6molPFs
3347,3347,Greta Van Fleet,Highway Tune,180640,2017,0.583,0.9620000000000001,4,-3.037,0.0543,0.0096,0.128,0.28300000000000003,0.506,123.977,spotify:track:7aOor99o8NNLZYElOXlBG1
3348,3348,Starset,Monster,256320,2017,0.386,0.86,1,-6.757000000000001,0.0543,0.00146,2.32e-06,0.0643,0.261,97.57600000000001,spotify:track:0criiQKIY1hyU0lRbVhZ8L
3349,3349,Linkin Park,Crawling,208960,2017,0.58,0.7020000000000001,4,-5.565,0.0337,0.0466,3.2e-06,0.536,0.299,105.07600000000001,spotify:track:57BrRMwf9LrcmuOsyGilwr
