,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Daniel Powter,Bad Day,233640,2005,0.599,0.785,3,-4.013,0.0309,0.448,0.00336,0.151,0.52,140.046
1,Sean Paul,Temperature,218573,2005,0.951,0.6,0,-4.675,0.0685,0.106,0.0,0.0712,0.822,125.04
2,Nelly Furtado ,Promiscuous,242200,2005,0.795,0.978,10,-6.097,0.0459,0.046,8.29e-05,0.143,0.843,114.321
3,James Blunt,You're Beautiful,177066,2005,0.66,0.183,3,-15.238,0.068,0.994,0.928,0.119,0.218,78.936
4,Shakira ,Hips Don't Lie,218093,2005,0.778,0.824,10,-5.892,0.0712,0.284,0.0,0.405,0.756,100.024
5,Natasha Bedingfield,Unwritten,259333,2005,0.706,0.801,5,-6.333,0.0399,0.00577,0.0,0.0822,0.63,100.013
6,Gnarls Barkley,Crazy,182066,2005,0.835,0.741,8,-1.609,0.0339,0.0172,0.0577,0.0826,0.612,111.963
7,Chamillionaire ,Ridin',303053,2005,0.788,0.798,8,-4.68,0.0997,0.189,0.0,0.3,0.836,143.051
8,Justin Timberlake,SexyBack,242733,2005,0.967,0.583,7,-5.562,0.0789,0.0584,0.0,0.0519,0.964,117.0
9,Beyonce ,Check On It,76214,2005,0.519,0.884,7,-8.077,0.369,0.00294,0.0,0.943,0.693,167.345
10,Mary J. Blige,Be Without You,246333,2005,0.724,0.705,2,-5.859,0.112,0.067,0.0,0.262,0.662,146.589
11,Nelly ,Grillz,271160,2005,0.863,0.514,4,-7.243,0.249,0.0419,0.0,0.301,0.843,82.985
12,The Fray,Over My Head (Cable Car),236267,2005,0.592,0.729,8,-4.156,0.0448,0.022,0.0,0.0653,0.709,116.03
13,Cassie,Me & U,192213,2005,0.803,0.454,8,-4.802,0.0294,0.352,0.0,0.0655,0.739,99.99
14,The Pussycat Dolls ,Buttons,225560,2005,0.57,0.821,2,-4.38,0.267,0.178,0.0,0.289,0.408,210.857
15,Chris Brown,Run It!,229867,2005,0.846,0.482,1,-6.721,0.129,0.0246,0.0,0.393,0.212,100.969
16,Ne-Yo,So Sick,207187,2005,0.452,0.574,6,-8.336,0.31,0.246,0.0,0.189,0.58,92.791
17,Yung Joc,It's Goin' Down,241307,2005,0.744,0.368,1,-6.349,0.0524,0.0702,0.0,0.192,0.391,84.018
18,Rihanna,SOS,238920,2005,0.677,0.671,7,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046
19,Panic! At The Disco,I Write Sins Not Tragedies,187613,2005,0.567,0.795,9,-4.985,0.134,0.0938,0.0,0.114,0.635,170.06
20,The All-American Rejects,Move Along,238880,2005,0.518,0.916,3,-3.858,0.0454,0.000148,0.0,0.291,0.646,109.864
21,Fergie,London Bridge,241307,2005,0.769,0.609,1,-5.894,0.357,0.216,0.0,0.166,0.633,90.951
22,Red Hot Chili Peppers,Dani California,282160,2005,0.556,0.913,0,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184
23,Dem Franchize Boyz ,"Lean Wit It, Rock Wit It",229813,2005,0.886,0.62,5,-5.854,0.307,0.082,0.0,0.1,0.6,76.035
24,Rascal Flatts,What Hurts The Most,214107,2005,0.537,0.674,5,-5.134,0.0277,0.0088,0.0,0.265,0.33,136.002
25,The Fray,How To Save A Life,262533,2005,0.64,0.743,10,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035
26,Rihanna,Unfaithful,226973,2005,0.588,0.391,0,-8.607,0.0334,0.839,0.0,0.227,0.349,144.069
27,Snow Patrol,Chasing Cars,267933,2005,0.563,0.592,9,-4.571,0.0276,0.209,5.08e-05,0.132,0.136,104.016
28,Hinder,Lips Of An Angel,261853,2005,0.476,0.736,2,-5.38,0.0343,0.0217,1.08e-06,0.203,0.251,129.084
29,Cascada,Everytime We Touch,196467,2005,0.635,0.974,8,-5.373,0.052,0.00474,1.56e-05,0.41,0.495,142.049
