,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
0,Daniel Powter,Bad Day,233640,2005,0.599,0.785,3,-4.013,0.0309,0.448,0.00336,0.151,0.52,140.046,spotify:track:0mUyMawtxj1CJ76kn9gIZK
1,Sean Paul,Temperature,218573,2005,0.951,0.6,0,-4.675,0.0685,0.106,0.0,0.0712,0.822,125.04,spotify:track:0k2GOhqsrxDTAbFFSdNJjT
2,Nelly Furtado ,Promiscuous,242200,2005,0.795,0.978,10,-6.097,0.0459,0.046,8.29e-05,0.143,0.843,114.321,spotify:track:47aQT2aV12TyilaoYi1NiD
3,James Blunt,Youre Beautiful,209493,2005,0.675,0.479,0,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,spotify:track:0vg4WnUWvze6pBOJDTq99k
4,Shakira ,Hips Dont Lie,218093,2005,0.778,0.824,10,-5.892,0.0712,0.284,0.0,0.405,0.756,100.024,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V
5,Natasha Bedingfield,Unwritten,259333,2005,0.706,0.801,5,-6.333,0.0399,0.00577,0.0,0.0822,0.63,100.013,spotify:track:1D1nixOVWOxvNfWi0UD7VX
6,Gnarls Barkley,Crazy,182066,2005,0.835,0.741,8,-1.609,0.0339,0.0172,0.0577,0.0826,0.612,111.963,spotify:track:2N5zMZX7YeL1tico8oQxa9
7,Chamillionaire ,Ridin,303053,2005,0.788,0.798,8,-4.68,0.0997,0.189,0.0,0.3,0.836,143.051,spotify:track:3kZoay4ANo86ehb6s4RwS9
8,Justin Timberlake,SexyBack,242733,2005,0.967,0.583,7,-5.562,0.0789,0.0584,0.0,0.0519,0.964,117.0,spotify:track:0O45fw2L5vsWpdsOdXwNAR
9,Beyonce ,Check On It,76214,2005,0.519,0.884,7,-8.077,0.369,0.00294,0.0,0.943,0.693,167.345,spotify:track:632ikkYPSHSHA5udZeuKvk
10,Mary J. Blige,Be Without You,246333,2005,0.724,0.705,2,-5.859,0.112,0.067,0.0,0.262,0.662,146.589,spotify:track:2YegxR5As7BeQuVp2U6pek
11,Nelly ,Grillz,271160,2005,0.863,0.514,4,-7.243,0.249,0.0419,0.0,0.301,0.843,82.985,spotify:track:0Aqlt4N5h6rUtKnd09VXpr
12,The Fray,Over My Head ,236267,2005,0.592,0.729,8,-4.156,0.0448,0.022,0.0,0.0653,0.709,116.03,spotify:track:1N62wozuHCvczCkY4QidpP
13,Cassie,Me & U,192213,2005,0.803,0.454,8,-4.802,0.0294,0.352,0.0,0.0655,0.739,99.99,spotify:track:7k6IzwMGpxnRghE7YosnXT
14,The Pussycat Dolls ,Buttons,225560,2005,0.57,0.821,2,-4.38,0.267,0.178,0.0,0.289,0.408,210.857,spotify:track:3BxWKCI06eQ5Od8TY2JBeA
15,Chris Brown,Run It!,229867,2005,0.846,0.482,1,-6.721,0.129,0.0246,0.0,0.393,0.212,100.969,spotify:track:7xYnUQigPoIDAMPVK79NEq
16,Ne-Yo,So Sick,207187,2005,0.452,0.574,6,-8.336,0.31,0.246,0.0,0.189,0.58,92.791,spotify:track:6brl7bwOHmGFkNw3MBqssT
17,Yung Joc,Its Goin Down,241840,2005,0.888,0.577,1,-7.702,0.0612,0.0986,0.0,0.131,0.609,84.003,spotify:track:05Sgj1Hx03ZXc57gsV1kfX
18,Rihanna,SOS,238920,2005,0.677,0.671,7,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046,spotify:track:30cSNer6TV8x2utjULVeQ5
19,Panic! At The Disco,I Write Sins Not Tragedies,187613,2005,0.567,0.795,9,-4.985,0.134,0.0938,0.0,0.114,0.635,170.06,spotify:track:4bPQs0PHn4xbipzdPfn6du
20,The All-American Rejects,Move Along,238880,2005,0.518,0.916,3,-3.858,0.0454,0.000148,0.0,0.291,0.646,109.864,spotify:track:2l57cfmCnOkwNX1tky02n1
21,Fergie,London Bridge,241307,2005,0.769,0.609,1,-5.894,0.357,0.216,0.0,0.166,0.633,90.951,spotify:track:7jRoWfRlLnGYEIEn4t4kbq
22,Red Hot Chili Peppers,Dani California,282160,2005,0.556,0.913,0,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,spotify:track:10Nmj3JCNoMeBQ87uw5j8k
23,Dem Franchize Boyz ,"Lean Wit It, Rock Wit It",229813,2005,0.886,0.62,5,-5.854,0.307,0.082,0.0,0.1,0.6,76.035,spotify:track:7cVmKBwzPsh4Fmb6SplfEm
24,Rascal Flatts,What Hurts The Most,214107,2005,0.537,0.674,5,-5.134,0.0277,0.0088,0.0,0.265,0.33,136.002,spotify:track:4bVuIlGQBMWS7vIhcx8Ae4
25,The Fray,How To Save A Life,262533,2005,0.64,0.743,10,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035,spotify:track:5fVZC9GiM4e8vu99W0Xf6J
26,Rihanna,Unfaithful,226973,2005,0.588,0.391,0,-8.607,0.0334,0.839,0.0,0.227,0.349,144.069,spotify:track:13xxBnXOuiBxVxJI458B0i
27,Snow Patrol,Chasing Cars,267933,2005,0.563,0.592,9,-4.571,0.0276,0.209,5.08e-05,0.132,0.136,104.016,spotify:track:11bD1JtSjlIgKgZG2134DZ
28,Hinder,Lips Of An Angel,261853,2005,0.476,0.736,2,-5.38,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,spotify:track:40LQiUUUKXVGyNs09lHVjW
29,Cascada,Everytime We Touch,196467,2005,0.635,0.974,8,-5.373,0.052,0.00474,1.56e-05,0.41,0.495,142.049,spotify:track:1eOHw1k2AoluG4VyjBHLzX
30,Christina Aguilera,Aint No Other Man,228907,2005,0.862,0.742,7,-4.722,0.222,0.00376,0.00855,0.103,0.511,127.91,spotify:track:7huo2wvrCgRucUsjdSDLQV
31,Fall Out Boy,"Dance, Dance",180267,2005,0.62,0.961,11,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.448,spotify:track:0a7BloCiNzLDD9qSQHh5m7
32,Kanye West ,Gold Digger,207627,2005,0.631,0.696,1,-5.572,0.348,0.0192,0.0,0.0554,0.621,92.941,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ
33,Ludacris ,Money Maker,230613,2005,0.464,0.598,1,-6.79,0.27,0.149,0.0,0.299,0.612,79.732,spotify:track:2JpUkUR0OsOlUUfm6iS8ic
34,Bubba Sparxxx ,Ms. New Booty,252653,2005,0.64,0.62,1,-5.931,0.416,0.016,0.0,0.0831,0.609,129.37,spotify:track:0k6HUzaRHpQ3eEWr1C7Esh
35,Nickelback,Photograph,258920,2005,0.513,0.877,8,-3.756,0.0292,0.000932,0.000163,0.136,0.389,145.919,spotify:track:3hb2ScEVkGchcAQqrPLP0R
36,Kelly Clarkson,Because Of You,219493,2005,0.583,0.584,5,-5.362,0.0314,0.254,0.0,0.123,0.136,140.039,spotify:track:3f3omU8n47Mqyab5nCaGyT
